Gene	sgRNA	Day14|beta	Day14|z	Day14|p-value	Day14|fdr	Day14|wald-p-value	Day14|wald-fdr	Mouse|beta	Mouse|z	Mouse|p-value	Mouse|fdr	Mouse|wald-p-value	Mouse|wald-fdr
SBK1	10	-0.519	-2.8637	0.0018832	0.0054945	0.0041873	0.013003	-0.29021	-1.6017	0.033898	0.087805	0.10923	0.24577
ING3	10	-0.63104	-3.1009	0.0018832	0.0054945	0.001929	0.0069681	-0.73913	-3.635	0	0	0.00027794	0.0016399
PRPS1L1	10	-0.16599	-1.2374	0.10923	0.16812	0.21594	0.35065	0.041678	0.31072	0.62712	0.76376	0.75601	0.83634
TERF1	10	-0.52555	-2.1879	0.0018832	0.0054945	0.028675	0.062919	0.022699	0.094875	0.53861	0.69082	0.92441	0.9601
PTK2B	10	-0.024596	-0.054431	0.66667	0.75803	0.95659	0.9806	0.24259	0.53874	0.5951	0.74353	0.59007	0.70888
SIGLEC15	10	-0.39547	-2.3996	0.0037665	0.0082645	0.016414	0.038566	-0.13633	-0.8273	0.16008	0.28912	0.40807	0.56428
PHYKPL	10	-0.49448	-2.5174	0.0018832	0.0054945	0.011824	0.03004	-0.032691	-0.16659	0.36535	0.53297	0.8677	0.916
ZNF250	10	-0.78616	-4.7191	0	0	2.369e-06	2.7346e-05	-0.86747	-5.2063	0	0	1.9262e-07	3.4093e-06
KAT2B	10	-0.24572	-1.6362	0.037665	0.066225	0.1018	0.18836	-0.16803	-1.1188	0.10169	0.2	0.2632	0.43004
PPP2R2C	10	-0.236	-0.96473	0.043315	0.073955	0.33468	0.49402	0.063455	0.26052	0.70245	0.81619	0.79446	0.86802
FFAR1	10	-1.1625	-5.1244	0	0	2.9852e-07	4.4032e-06	-1.1171	-4.9323	0	0	8.1249e-07	1.0786e-05
CLSTN3	10	-0.37934	-2.152	0.0037665	0.0082645	0.0314	0.068054	-0.1415	-0.803	0.15254	0.27645	0.42198	0.56901
TPD52L1	10	-0.18738	-1.3363	0.082863	0.13213	0.18144	0.30749	0.21638	1.5434	0.69303	0.81236	0.12273	0.26929
SLC16A13	10	-1.0576	-5.1111	0	0	3.2037e-07	4.5978e-06	-1.2433	-6.0048	0	0	1.9153e-09	6.4159e-08
PTPRM	10	-0.14156	-0.8492	0.14878	0.22067	0.39577	0.56191	0.23167	1.39	0.6403	0.77098	0.16452	0.32203
PCDHB15	10	-0.31797	-1.5886	0.013183	0.025362	0.11216	0.20257	0.27929	1.3961	0.46516	0.62217	0.1627	0.32203
DKK1	10	-0.31975	-1.8209	0.013183	0.025362	0.068621	0.13495	0.099329	0.5658	0.82298	0.89366	0.57153	0.69766
LSM14B	10	-0.5452	-1.9743	0.0018832	0.0054945	0.048343	0.099884	-0.58325	-2.1147	0.0018832	0.0087719	0.034454	0.093821
RASEF	10	-0.27881	-1.9678	0.018832	0.034722	0.049094	0.10104	0.0042098	0.02972	0.47081	0.62657	0.97629	0.98454
ZGRF1	10	-0.45111	-2.9852	0.0037665	0.0082645	0.0028344	0.0093482	-0.25338	-1.6772	0.045198	0.10762	0.093499	0.21871
ATP10B	10	-0.06477	-0.38966	0.4275	0.54306	0.69679	0.84133	0.044586	0.26828	0.629	0.7643	0.78849	0.86505
RSPO3	10	-0.056936	-0.39876	0.47646	0.5907	0.69007	0.84043	0.14231	0.99686	0.99623	0.99623	0.31883	0.48257
DNAH5	10	-0.15288	-0.92697	0.12806	0.19373	0.35394	0.51178	-0.016959	-0.10283	0.40113	0.56764	0.9181	0.9559
RPL13	10	-2.017	-7.2709	0	0	3.5704e-13	9.4793e-11	-2.0035	-7.2522	0	0	4.1007e-13	5.4437e-11
CD27	10	-0.71383	-3.5727	0.0018832	0.0054945	0.00035331	0.0016352	-0.71966	-3.6046	0	0	0.00031262	0.0018242
KCTD9	10	-0.47168	-3.0912	0.0018832	0.0054945	0.0019936	0.007033	-0.40747	-2.6704	0.0056497	0.016667	0.0075758	0.026998
BRF1	10	-0.46331	-2.2824	0.0037665	0.0082645	0.022468	0.051426	-0.17746	-0.87471	0.097928	0.19772	0.38173	0.53624
TAOK3	10	-0.16784	-1.1968	0.10546	0.16374	0.23137	0.37118	-0.013068	-0.093198	0.41055	0.57368	0.92575	0.9601
RHPN1	10	-0.74213	-3.6429	0.0018832	0.0054945	0.00026958	0.0013133	-0.65705	-3.2292	0.0018832	0.0087719	0.0012415	0.0058338
DNAI1	10	-0.41484	-2.5711	0.0037665	0.0082645	0.010139	0.026511	-0.12342	-0.76514	0.17514	0.30693	0.44419	0.58673
ABLIM2	10	-0.32202	-2.7575	0.011299	0.022901	0.0058249	0.017184	-0.42576	-3.6456	0.0056497	0.016667	0.00026675	0.0016046
BICDL1	10	-1.3983	-5.8749	0	0	4.2314e-09	1.3217e-07	-1.5114	-6.3495	0	0	2.1606e-10	1.043e-08
TXN2	10	-0.55908	-2.4197	0.0018832	0.0054945	0.015532	0.03715	-0.51547	-2.2326	0.0037665	0.012579	0.025572	0.074609
TNFRSF6B	10	-0.69702	-4.0602	0.0018832	0.0054945	4.9023e-05	0.00034252	-0.50338	-2.9342	0.0037665	0.012579	0.0033445	0.012963
COMMD5	10	-0.76508	-4.3604	0.0018832	0.0054945	1.2983e-05	0.0001149	-0.58343	-3.3278	0.0018832	0.0087719	0.00087534	0.0043037
CYHR1	10	-0.7	-3.8351	0.0018832	0.0054945	0.00012553	0.00072455	-0.81148	-4.4452	0	0	8.7807e-06	7.9026e-05
KLF16	10	-0.98569	-4.6144	0	0	3.9429e-06	4.1873e-05	-0.46917	-2.1993	0.0037665	0.012579	0.027859	0.079533
CHRFAM7A	10	-0.57111	-3.4679	0.0018832	0.0054945	0.0005246	0.0022752	-0.28766	-1.7486	0.033898	0.087805	0.080365	0.19309
CPD	10	-0.35786	-2.4731	0.0037665	0.0082645	0.013394	0.033079	-0.74218	-5.1258	0	0	2.9632e-07	4.4956e-06
CDKN2B	10	-0.43201	-3.2191	0.0037665	0.0082645	0.0012859	0.0048772	-0.1622	-1.2087	0.12241	0.23297	0.22679	0.40009
COL25A1	10	-0.22066	-1.5693	0.05838	0.096875	0.11659	0.20919	-0.33966	-2.4154	0.018832	0.05291	0.015719	0.049388
CD274	10	-0.31702	-2.2008	0.013183	0.025362	0.027749	0.061139	-0.11249	-0.78128	0.19021	0.32581	0.43464	0.57843
TJP3	10	-0.38334	-1.6014	0.0037665	0.0082645	0.10929	0.20011	-0.20546	-0.86138	0.06968	0.15102	0.38903	0.54362
ROBO2	10	-0.31838	-2.4171	0.013183	0.025362	0.015646	0.037255	-0.09153	-0.69513	0.22034	0.36562	0.48697	0.62611
AKT1	10	-0.38332	-2.349	0.0037665	0.0082645	0.018822	0.043836	-0.36538	-2.2391	0.007533	0.021978	0.025149	0.073778
USP7	10	-1.6597	-5.8811	0	0	4.0757e-09	1.3217e-07	-1.4008	-4.9835	0	0	6.2454e-07	8.6498e-06
ZDHHC20	10	-0.28912	-1.6429	0.016949	0.03169	0.1004	0.18641	-0.056926	-0.32359	0.3032	0.46802	0.74625	0.82899
MPND	10	-0.48021	-3.0561	0.0018832	0.0054945	0.0022427	0.0077834	-0.091608	-0.58391	0.21846	0.36364	0.55928	0.69064
ARHGEF15	10	-0.5862	-3.5222	0.0018832	0.0054945	0.00042792	0.0019256	-0.4305	-2.5873	0.0056497	0.016667	0.0096736	0.032511
DCAKD	10	-0.53228	-3.4784	0.0018832	0.0054945	0.00050449	0.0022139	-0.47675	-3.1169	0.0037665	0.012579	0.0018278	0.0077646
BPNT1	10	-0.54563	-2.2331	0.0018832	0.0054945	0.025539	0.05698	0.1365	0.55947	0.97363	0.98102	0.57584	0.6997
TMED9	10	-0.29059	-1.4751	0.016949	0.03169	0.1402	0.24732	0.32718	1.6617	0.32015	0.48991	0.09657	0.22392
RBM23	10	-1.081	-5.1412	0	0	2.7299e-07	4.1417e-06	-1.1894	-5.6551	0	0	1.5579e-08	3.8121e-07
SIGLEC14	10	0.030464	0.16307	0.84181	0.89222	0.87046	0.95272	0.49413	2.6454	0.073446	0.15854	0.0081588	0.028502
SELENOS	10	-0.55003	-3.2811	0.0018832	0.0054945	0.001034	0.0040373	-0.35561	-2.1224	0.011299	0.032432	0.033807	0.093497
GALK2	10	-0.46998	-2.9798	0.0037665	0.0082645	0.0028839	0.0094528	-0.15814	-1.0032	0.12994	0.24382	0.31579	0.48257
CDK5RAP2	10	-0.67743	-3.4609	0.0018832	0.0054945	0.00053833	0.0022868	-0.9052	-4.6223	0	0	3.7955e-06	4.0308e-05
CDT1	10	-1.2759	-5.4001	0	0	6.6607e-08	1.2632e-06	-1.4186	-6.0033	0	0	1.9332e-09	6.4159e-08
CDC45	10	-1.4069	-5.462	0	0	4.7072e-08	9.6136e-07	-1.6703	-6.4651	0	0	1.0122e-10	5.3749e-09
CHRNA4	10	-0.25452	-1.2223	0.032015	0.057432	0.22161	0.35768	-0.10415	-0.50075	0.19397	0.33013	0.61655	0.73077
CELF5	10	-0.64656	-3.3728	0.0018832	0.0054945	0.00074413	0.0030395	-0.42319	-2.2088	0.0056497	0.016667	0.027192	0.078048
MICAL3	10	-0.69089	-3.6663	0.0018832	0.0054945	0.00024607	0.0012564	-0.29376	-1.5611	0.033898	0.087805	0.11851	0.2622
C4orf48	10	-0.89984	-4.8223	0	0	1.4192e-06	1.7127e-05	-0.3297	-1.7692	0.020716	0.057292	0.076862	0.18679
GEMIN2	10	-1.0092	-5.0008	0	0	5.7089e-07	7.3937e-06	-0.86928	-4.311	0	0	1.6249e-05	0.00013022
NUDT12	10	-0.10853	-0.47579	0.22222	0.31467	0.63423	0.79994	-0.0098186	-0.04307	0.4162	0.57853	0.96565	0.97668
AGTR1	10	-0.029976	-0.10057	0.62712	0.72867	0.91989	0.96534	0.33457	1.123	0.29755	0.46471	0.26145	0.429
CPT1B	10	-0.40405	-3.19	0.0037665	0.0082645	0.0014226	0.0052827	0.090522	0.71539	0.79284	0.87397	0.47437	0.61586
USP53	10	-0.24216	-1.2441	0.041431	0.071661	0.21347	0.34771	0.089087	0.45782	0.79096	0.87397	0.64708	0.75022
ZNF597	10	-0.32868	-2.5875	0.0094162	0.019231	0.009668	0.025797	-0.14995	-1.1806	0.13936	0.25965	0.23776	0.40714
ERCC6L2	10	-0.49615	-2.1074	0.0018832	0.0054945	0.035084	0.075119	0.090618	0.38515	0.79473	0.87397	0.70013	0.79438
GPR85	10	-0.35928	-2.486	0.0037665	0.0082645	0.012918	0.032055	-0.17393	-1.2035	0.099812	0.1985	0.22878	0.40225
KIT	10	-0.23774	-1.5901	0.041431	0.071661	0.11181	0.20257	-0.23146	-1.5484	0.054614	0.12446	0.12153	0.26778
CUL9	10	-0.6977	-3.3174	0.0018832	0.0054945	0.0009087	0.0036009	-0.54941	-2.6145	0.0037665	0.012579	0.0089349	0.030808
ZCCHC4	10	-0.24516	-1.6978	0.037665	0.066225	0.089555	0.16923	-0.047212	-0.32705	0.32957	0.5	0.74363	0.82781
TMEM132A	10	-0.40985	-2.5695	0.0037665	0.0082645	0.010185	0.026511	-0.32671	-2.0488	0.020716	0.057292	0.04048	0.10801
KRTAP10-1	10	-0.57281	-3.5498	0.0018832	0.0054945	0.00038548	0.0017646	-0.22386	-1.3886	0.056497	0.12658	0.16496	0.32203
CDKL5	10	-0.29981	-2.0197	0.015066	0.028571	0.043411	0.091838	-0.17402	-1.1724	0.099812	0.1985	0.24103	0.40714
SLC2A3	10	-0.31523	-1.0846	0.013183	0.025362	0.27811	0.43307	0.47653	1.6399	0.082863	0.1746	0.10103	0.23025
SIGLEC12	10	-0.39914	-2.8074	0.0037665	0.0082645	0.004995	0.01507	-0.30112	-2.118	0.030132	0.080402	0.034172	0.093821
SIM2	10	-0.43869	-2.6441	0.0037665	0.0082645	0.0081914	0.022421	-0.46579	-2.8074	0.0037665	0.012579	0.0049944	0.018676
IRS4	10	-0.25855	-1.4149	0.032015	0.057432	0.15711	0.27086	-0.008324	-0.045557	0.42373	0.5829	0.96366	0.97668
TMEM235	10	-0.59875	-2.7508	0.0018832	0.0054945	0.0059447	0.017344	-0.2731	-1.2559	0.041431	0.10138	0.20916	0.37776
SIK1	10	-0.2993	-1.7678	0.015066	0.028571	0.077097	0.14833	0.11486	0.67864	0.88889	0.93281	0.49737	0.63486
CCNG1	10	-0.43564	-2.0084	0.0037665	0.0082645	0.044606	0.093619	-0.0027338	-0.012612	0.43691	0.59487	0.98994	0.99137
DDX60	10	-0.016672	-0.093805	0.72505	0.80208	0.92526	0.96701	0.23356	1.3143	0.63653	0.76818	0.18873	0.35164
HIPK1	10	-0.66416	-3.9965	0.0018832	0.0054945	6.4284e-05	0.00042142	-0.52839	-3.1801	0.0037665	0.012579	0.0014722	0.0064605
CSH2	10	-1.1091	-5.0981	0	0	3.4312e-07	4.7946e-06	-1.844	-8.4276	0	0	3.5283e-17	9.3676e-15
RASA4B	10	-1.5423	-5.6431	0	0	1.6697e-08	4.0301e-07	-1.312	-4.8329	0	0	1.3455e-06	1.5877e-05
FGD4	10	-0.17568	-1.2541	0.092279	0.14497	0.2098	0.34385	0.17712	1.2646	0.85876	0.91566	0.20602	0.37337
MYO18A	10	-0.6453	-2.5015	0.0018832	0.0054945	0.012367	0.030975	-0.76166	-2.9539	0	0	0.0031374	0.01234
AMT	10	-0.29796	-2.2439	0.015066	0.028571	0.024838	0.055886	-0.10639	-0.8013	0.19021	0.32581	0.42296	0.56901
MEIOC	10	-0.77507	-4.077	0	0	4.5623e-05	0.00032738	-1.116	-5.8624	0	0	4.5631e-09	1.3461e-07
PIAS1	10	-1.7757	-6.7903	0	0	1.1191e-11	1.1885e-09	-1.8808	-7.2013	0	0	5.9623e-13	6.332e-11
TSSK1B	10	-0.32744	-1.0314	0.0094162	0.019231	0.30235	0.45989	0.51066	1.6093	0.067797	0.14754	0.10756	0.24303
PIK3C2B	10	-0.49203	-2.4506	0.0018832	0.0054945	0.014261	0.034897	-0.47892	-2.3859	0.0037665	0.012579	0.017037	0.053216
SACS	10	-0.46695	-1.9599	0.0037665	0.0082645	0.05001	0.10253	-0.47838	-2.01	0.0037665	0.012579	0.044434	0.11739
TLR2	10	-0.14652	-0.85327	0.14124	0.21067	0.39351	0.56019	-0.07615	-0.44356	0.258	0.41515	0.65736	0.75882
DPP10	10	-0.16689	-0.83521	0.10923	0.16812	0.4036	0.56846	0.10576	0.52948	0.84181	0.90486	0.59647	0.71496
DAXX	10	-0.76473	-4.0841	0.0018832	0.0054945	4.4245e-05	0.00032183	-0.16618	-0.88816	0.10923	0.21245	0.37445	0.53023
DKK4	10	-0.44048	-2.8524	0.0037665	0.0082645	0.0043386	0.013317	-0.4947	-3.2034	0.0037665	0.012579	0.0013583	0.0062177
CTNNBIP1	10	-0.40719	-1.2627	0.0037665	0.0082645	0.2067	0.33981	-0.55542	-1.7223	0.0037665	0.012579	0.085014	0.20153
DFFB	10	-0.41352	-2.427	0.0037665	0.0082645	0.015224	0.036578	-0.12367	-0.72605	0.17326	0.30667	0.46781	0.60905
BRIP1	10	-0.61536	-3.7533	0.0018832	0.0054945	0.00017452	0.0009402	-0.34287	-2.0919	0.016949	0.048128	0.036448	0.098242
KAT6A	10	-1.042	-4.2674	0	0	1.9774e-05	0.00016154	-1.1068	-4.5327	0	0	5.8227e-06	5.4243e-05
SRRD	10	-0.9031	-4.0135	0	0	5.9818e-05	0.00039704	-0.72335	-3.2176	0	0	0.0012929	0.0060221
MAPK15	10	-0.58969	-2.7958	0.0018832	0.0054945	0.0051777	0.015533	-0.72854	-3.4535	0	0	0.00055344	0.0029684
ERCC5	10	-0.28173	-1.6123	0.018832	0.034722	0.1069	0.19641	-0.18351	-1.0506	0.092279	0.18919	0.29344	0.4639
BTBD9	10	-0.42604	-2.8152	0.0037665	0.0082645	0.0048748	0.014792	-0.16407	-1.0842	0.11488	0.22101	0.27825	0.4491
CCDC62	10	-0.75237	-3.8103	0.0018832	0.0054945	0.00013881	0.00077586	-0.49623	-2.5171	0.0037665	0.012579	0.011834	0.038551
BCL10	10	-0.24926	-1.2976	0.037665	0.066225	0.19442	0.32261	-0.30296	-1.5771	0.028249	0.076142	0.11476	0.25586
NIPAL2	10	-0.20966	-1.176	0.06403	0.10398	0.23959	0.3832	-0.44229	-2.4795	0.0056497	0.016667	0.013155	0.041829
CEACAM6	10	-0.4633	-3.4001	0.0037665	0.0082645	0.00067369	0.0027947	-0.16963	-1.245	0.10169	0.2	0.21312	0.38232
LGALS7B	10	-2.0348	-7.5427	0	0	4.6043e-14	2.4449e-11	-1.7645	-6.5584	0	0	5.4378e-11	3.2083e-09
KAT2A	10	-1.4774	-6.1373	0	0	8.3946e-10	4.4576e-08	-1.2469	-5.1975	0	0	2.0194e-07	3.4591e-06
C8orf58	10	-0.48676	-3.398	0.0018832	0.0054945	0.00067893	0.0027947	-0.4823	-3.3668	0.0037665	0.012579	0.00076037	0.0039584
DAP	10	-0.12031	-0.73981	0.19774	0.28455	0.45942	0.62874	0.23784	1.463	0.6177	0.76102	0.14348	0.29645
ALS2CL	10	-0.216	-1.9542	0.060264	0.098765	0.050679	0.10349	-0.12942	-1.1712	0.16949	0.30201	0.24153	0.40714
SLC27A5	10	-0.59154	-3.0231	0.0018832	0.0054945	0.0025019	0.008571	-0.087527	-0.44769	0.22787	0.37578	0.65438	0.75703
RALGAPA2	10	-0.26507	-1.7451	0.030132	0.054608	0.080973	0.15497	-0.10578	-0.69645	0.19021	0.32581	0.48615	0.62611
KCNK2	10	-0.22935	-1.4497	0.050847	0.085714	0.14714	0.25786	-0.21839	-1.3805	0.060264	0.13333	0.16742	0.32564
LDB2	10	-0.31786	-2.3832	0.013183	0.025362	0.017161	0.040143	-0.17173	-1.288	0.099812	0.1985	0.19773	0.36081
USP16	10	-0.459	-3.2207	0.0037665	0.0082645	0.0012786	0.0048772	-0.42235	-2.9637	0.0056497	0.016667	0.0030397	0.012045
NT5M	10	-0.66177	-3.8319	0.0018832	0.0054945	0.00012714	0.00072594	-0.42969	-2.4904	0.0056497	0.016667	0.01276	0.041062
PIP5KL1	10	-0.57184	-2.4519	0.0018832	0.0054945	0.014209	0.034897	-0.83547	-3.5785	0	0	0.00034558	0.0019946
HSD11B2	10	-0.83812	-4.1729	0	0	3.0068e-05	0.0002314	-0.74621	-3.7178	0	0	0.00020098	0.0012858
STAG3	10	-0.5633	-2.8642	0.0018832	0.0054945	0.0041811	0.013003	-0.57771	-2.9381	0.0037665	0.012579	0.0033023	0.012894
TYMP	10	-0.59466	-3.0027	0.0018832	0.0054945	0.0026761	0.0088813	-0.51435	-2.6116	0.0037665	0.012579	0.0090118	0.030873
BIN1	10	-0.77396	-4.4784	0	0	7.5192e-06	7.2594e-05	-0.59831	-3.4733	0.0018832	0.0087719	0.00051414	0.0027858
EDIL3	10	-0.18127	-0.97771	0.090395	0.14243	0.32822	0.48956	0.041741	0.22523	0.62712	0.76376	0.8218	0.8843
RNF130	10	-0.26661	-1.6218	0.030132	0.054608	0.10484	0.1933	0.31507	1.9172	0.35217	0.52089	0.05521	0.14442
KCNT1	10	-0.43955	-2.7595	0.0037665	0.0082645	0.0057898	0.017175	-0.29378	-1.8446	0.033898	0.087805	0.065095	0.16228
COL14A1	10	-0.27828	-1.7685	0.018832	0.034722	0.076983	0.14833	-0.29717	-1.889	0.032015	0.085	0.058898	0.15036
ORAI2	10	-0.43786	-2.6622	0.0037665	0.0082645	0.0077629	0.021582	-0.57385	-3.4887	0.0037665	0.012579	0.00048532	0.0026567
IQCG	10	-0.3368	-2.655	0.007533	0.015564	0.007932	0.021937	-0.4065	-3.2042	0.0056497	0.016667	0.0013542	0.0062177
PRKX	10	-0.132	-0.98436	0.16949	0.24793	0.32494	0.48603	0.20228	1.5087	0.74576	0.84797	0.13137	0.28241
CEACAM7	10	-0.31668	-2.1723	0.013183	0.025362	0.029835	0.064927	-0.12828	-0.88012	0.16949	0.30201	0.37879	0.53353
PRAM1	10	-0.42085	-2.4352	0.0037665	0.0082645	0.014883	0.035923	0.014452	0.083668	0.51412	0.66748	0.93332	0.96232
WDR5	10	-1.1921	-4.3178	0	0	1.5759e-05	0.00013497	-0.96573	-3.5097	0	0	0.00044864	0.0025343
PTTG1	10	-0.81949	-3.7188	0	0	0.00020018	0.0010421	-1.0735	-4.8677	0	0	1.1292e-06	1.3944e-05
KIF5C	10	-0.29826	-1.5621	0.015066	0.028571	0.11826	0.21143	0.1075	0.56319	0.84369	0.90505	0.5733	0.69822
SYCE3	10	-0.35456	-1.927	0.0037665	0.0082645	0.053982	0.10858	-0.20008	-1.0876	0.079096	0.168	0.27679	0.44809
FOXRED2	10	-0.42772	-2.9639	0.0037665	0.0082645	0.0030373	0.0098947	-0.5421	-3.7559	0.0037665	0.012579	0.0001727	0.0011183
ANXA2R	10	-0.64577	-4.3305	0.0018832	0.0054945	1.488e-05	0.00012953	-0.65142	-4.3698	0.0018832	0.0087719	1.2434e-05	0.0001048
SPACA4	10	-0.55444	-3.127	0.0018832	0.0054945	0.0017663	0.0064682	-0.41509	-2.3418	0.0056497	0.016667	0.01919	0.05946
EPS8L1	10	-1.1016	-4.6334	0	0	3.5978e-06	3.9042e-05	-0.59022	-2.4923	0.0018832	0.0087719	0.012693	0.041062
GAD1	10	-0.84084	-3.6296	0	0	0.0002839	0.0013705	-0.42295	-1.8278	0.0056497	0.016667	0.067582	0.16614
TNS2	10	-1.3257	-5.9976	0	0	2.002e-09	9.6644e-08	-1.217	-5.5139	0	0	3.509e-08	7.1665e-07
RECQL5	10	-0.31346	-1.7051	0.013183	0.025362	0.088177	0.16722	0.078147	0.42536	0.75518	0.84958	0.67057	0.7674
CDS2	10	-1.2275	-5.1768	0	0	2.2572e-07	3.6321e-06	-1.4538	-6.1233	0	0	9.1679e-10	4.0568e-08
LRIG1	10	-0.54758	-3.6013	0.0018832	0.0054945	0.00031667	0.0014881	-0.55509	-3.6506	0.0037665	0.012579	0.00026159	0.0016046
MTX3	10	-0.17006	-1.0349	0.10546	0.16374	0.30073	0.45989	-0.2419	-1.4719	0.050847	0.11894	0.14104	0.29486
LRRK2	10	-0.53417	-2.5905	0.0018832	0.0054945	0.0095844	0.025704	0.12377	0.60053	0.9209	0.95136	0.54815	0.68326
VPS26B	10	-0.48068	-2.2244	0.0018832	0.0054945	0.026119	0.058029	-0.18023	-0.83711	0.096045	0.1954	0.40253	0.55808
UBA2	10	-1.3154	-4.6844	0	0	2.808e-06	3.1724e-05	-1.0621	-3.7891	0	0	0.00015117	0.0010291
C11orf71	10	-0.51916	-3.4028	0.0018832	0.0054945	0.00066702	0.0027889	-0.27015	-1.7708	0.041431	0.10138	0.0766	0.18679
LHX4	10	-0.31973	-1.8007	0.013183	0.025362	0.071757	0.14008	-0.14121	-0.79567	0.15254	0.27645	0.42622	0.56901
SFTPC	10	-0.004269	-0.021164	0.86064	0.90316	0.98311	0.99153	0.038494	0.19121	0.61205	0.75581	0.84836	0.90276
FN1	10	-0.48439	-2.7437	0.0018832	0.0054945	0.0060758	0.01763	-0.44888	-2.5427	0.0037665	0.012579	0.010999	0.036277
SLC4A1AP	10	-0.80061	-3.7389	0	0	0.0001848	0.00098129	-0.70187	-3.282	0	0	0.0010308	0.0049761
KLC4	10	-0.15554	-1.0334	0.12429	0.18857	0.3014	0.45989	-0.47981	-3.1871	0.0037665	0.012579	0.0014369	0.0063584
ARF3	10	-0.53786	-2.713	0.0018832	0.0054945	0.0066672	0.019034	-0.7482	-3.7719	0	0	0.00016204	0.0010755
SKA2	10	-1.3379	-5.0819	0	0	3.7377e-07	5.089e-06	-0.91339	-3.4896	0	0	0.00048381	0.0026567
SSX1	10	-0.86884	-5.2497	0	0	1.5235e-07	2.6096e-06	-0.72119	-4.3595	0	0	1.3036e-05	0.00010816
C22orf23	10	-0.7575	-3.7564	0.0018832	0.0054945	0.00017236	0.0009402	-0.675	-3.3475	0.0018832	0.0087719	0.00081534	0.0041233
PXMP2	10	-0.59253	-3.0918	0.0018832	0.0054945	0.0019893	0.007033	-0.92903	-4.8451	0	0	1.2658e-06	1.5276e-05
TYW1B	10	-1.2635	-4.8693	0	0	1.1197e-06	1.3828e-05	-0.77261	-2.9873	0	0	0.0028149	0.011481
AP4E1	10	-0.4065	-2.5391	0.0037665	0.0082645	0.011113	0.028646	-0.23131	-1.445	0.054614	0.12446	0.14847	0.30206
RPS27A	10	-1.8436	-4.9368	0	0	7.9426e-07	1.0042e-05	-1.2011	-3.3081	0	0	0.00093937	0.0045762
MAB21L1	10	-0.31746	-1.7425	0.013183	0.025362	0.081423	0.15497	-0.55259	-3.029	0.0037665	0.012579	0.002454	0.01026
SLC25A34	10	-0.3949	-3.198	0.0037665	0.0082645	0.001384	0.0051752	-0.26217	-2.1232	0.045198	0.10762	0.033734	0.093497
SCRIB	10	-0.5349	-2.7538	0.0018832	0.0054945	0.0058912	0.017283	-0.63658	-3.2767	0.0018832	0.0087719	0.0010502	0.0050237
ZNF493	10	-0.61477	-3.0121	0.0018832	0.0054945	0.0025948	0.0087527	-0.56671	-2.7788	0.0037665	0.012579	0.0054558	0.020118
